4634
     222367.839	intimidatory
     269706.114	petrified
     314217.877	Picturing
      91294.084	Rosier
     232633.452	evict
       2128.059	guides
      57114.307	Reserve
     285462.445	Scheming
      50082.251	wondrous
     995317.163	Scooped
     548619.455	blunderings
     829768.655	commenter
     941691.945	interviewing
      869241.04	radiology
     514164.757	sensitisers
      714756.66	Grained
     420213.141	Sips
     549498.696	Verily
     926557.229	Insecticides
     163008.225	Fixates
      33502.942	Haughtiness
     116979.289	sensitised
     916702.754	inadequately
     964555.483	plantain
     124766.992	cities
     297513.191	Steroid
       230491.1	Postponement
     360176.905	psychosocial
     161791.505	samizdat
     870190.937	seekers
     240423.801	job
     393372.644	negligibly
     674995.979	projectively
     237998.005	apprise
      387468.34	Rehousing
     813494.051	dammed
     796546.516	untainted
     310065.163	lasagne
     130559.405	formalist
     830881.014	upstart
     302279.796	metrication
     675738.557	concretes
       6691.005	toads
     461042.061	Accusative
     780224.125	Shallowly
     263175.525	opinion
     175173.105	condescension
     149559.944	Provident
     381123.582	besotted
     969416.783	marital
     153712.977	Dishonesty
     952188.997	satire
     577764.185	ultrasonic
      516287.98	Canaries
     658196.503	foremost
     246862.635	Matriculated
     395033.912	swine
     582435.695	earholes
     162807.717	exterior
      425436.47	pincushions
     508905.579	lipid
     385713.493	Milieus
     527099.813	rebuffs
      886867.94	swarms
     274179.577	ousted
     898364.911	fisheries
     317976.905	unfailing
     215799.142	manias
     941573.902	statuettes
      17001.542	endomorphisms
     312431.566	bestseller
     662408.879	disproves
     123038.606	polytopes
     361819.798	Witchhunts
     328951.202	Herbalists
      651485.86	administrators
     337706.386	megavolt
     762008.048	Deportations
     755944.262	leisure
     185227.503	queuing
     642818.055	processions
     599428.411	resurfacing
      31870.781	chancellor
     856886.006	Lung
     409035.248	demilitarised
     885664.252	certainty
     852104.563	clumsier
     122606.553	unctuous
     359900.903	Minestrone
     995412.127	withholds
      17981.087	Transmitters
     981581.907	Understating
     321026.314	musicologist
     891465.101	grope
     448514.343	irritants
     136030.358	Groundsman
     688703.449	internalise
     590510.317	articulate
     780586.958	gainful
     194662.632	corrode
      745261.29	respiratory
     820805.506	exhaust
     618951.416	sties
     871701.351	Rehashes
     986418.342	contaminated
     724826.627	pannier
     438486.117	skirted
     737760.921	Doubtingly
     141430.857	redness
     294487.239	acquits
     888636.083	correlates
     881274.768	dishes
     270028.662	aperiodic
     657163.346	withers
      16880.813	beforehand
     682638.828	western
     853669.877	Imagining
      47345.786	beanie
     113092.513	controversial
     712312.588	walruses
     196111.994	wrath
      49065.581	protozoans
     938520.809	oxygenating
     137427.608	rollcall
     819557.005	Gibbet
      919536.07	unbutton
     982919.878	Judge
     208300.616	donate
      364987.49	commended
      329882.67	yeah
     759685.106	Atheism
     212569.851	declarations
     860667.682	pebble
     982523.032	poop
     945971.656	slouched
      29875.266	sorceress
     921594.553	conclave
     518799.809	relax
      19628.552	triage
     461651.575	leanings
     951328.211	Massive
     322918.056	Incoming
